STT,Nhóm Tính Năng,Tên Tính Năng,Mô Tả Chi Tiết & Nghiệp Vụ,Giá Trị Ứng Dụng Thực Tế,Phím Tắt / Thao Tác,Trạng Thái
11,III. Timeline & Canvas Sóng âm,Vạch Playhead & Thước đo thời gian,"Thước đo thời gian hiển thị nhãn chuẩn (00:00, 00:10, 00:20...) kèm vạch phát màu trắng sáng di chuyển mượt theo nhạc.","Theo dõi bài hát chính xác đến từng khung hình.","Tự động trượt","Hoàn thành (100%)"
12,III. Timeline & Canvas Sóng âm,Hover Tooltip & Chọn Marker,"Rê chuột vào vạch nhịp sẽ hiện khung thông tin (Loại nhịp, Timestamp, Confidence), click để chọn làm việc.","Dễ dàng kiểm tra và quản lý từng điểm nhịp.","Hover & Click chuột","Hoàn thành (100%)"
13,IV. Bộ lọc & Quản lý Marker,Thanh điều chỉnh Mật độ tách nhịp,"Thanh trượt LOW - MEDIUM - HIGH cho phép tăng giảm số lượng điểm cắt từ ít (chỉ nhịp mạnh) đến chi tiết từng phách.","Tùy biến video theo phong cách: cắt chậm chill hoặc giật nhanh bắt trend.","Slider Mật độ nhịp","Hoàn thành (100%)"
14,IV. Bộ lọc & Quản lý Marker,Nút Ẩn/Hiện Nhịp Mạnh (🔴),"Nút bấm tương tác trực tiếp ở thanh dưới giúp ẩn hoặc hiện riêng các vạch nhịp mạnh (Downbeats màu đỏ cam).","Tập trung quan sát và chỉnh sửa riêng từng lớp nhịp.","Click nút [🔴 Nhịp mạnh]","Hoàn thành (100%)"
15,IV. Bộ lọc & Quản lý Marker,Nút Ẩn/Hiện Nhịp Nhẹ / Chuẩn (🟡),"Nút bấm tương tác trực tiếp ở thanh dưới giúp ẩn hoặc hiện riêng các vạch nhịp chuẩn màu vàng.","Tùy biến hiển thị theo nhu cầu dựng video.","Click nút [🟡 Nhịp chuẩn]","Hoàn thành (100%)"
16,IV. Bộ lọc & Quản lý Marker,Nút Ẩn/Hiện Marker Thủ Công (🟣),"Nút bấm tương tác trực tiếp ở thanh dưới giúp ẩn hoặc hiện các điểm đánh dấu thủ công bạn tự tạo.","Phân tách rõ ràng giữa nhịp AI quét và điểm tự thêm bằng tay.","Click nút [🟣 Marker thủ công]","Hoàn thành (100%)"
17,IV. Bộ lọc & Quản lý Marker,Nút Ẩn Hết / Hiện Tất Cả (👁️),"Nút Master Toggle giúp tắt sạch toàn bộ vạch nhịp trên sóng âm để quan sát sóng âm thông thoáng hoặc bật lại chỉ với 1 click.","Kiểm tra trực quan dạng sóng gốc dễ dàng.","Click nút [Ẩn hết / Hiện tất cả]","Hoàn thành (100%)"
18,IV. Bộ lọc & Quản lý Marker,Thêm Marker thủ công,"Cho phép người dùng đánh dấu điểm cắt riêng biệt tại bất kỳ vị trí con trỏ đang phát bằng phím tắt hoặc nút bấm.","Tự do chấm các điểm rơi hiệu ứng đặc biệt trong video.","Phím [M] hoặc nút [+ Thêm]","Hoàn thành (100%)"
19,IV. Bộ lọc & Quản lý Marker,Xóa Marker nhanh,"Chọn marker bất kỳ trên timeline và bấm phím xóa để loại bỏ điểm nhịp không mong muốn.","Làm sạch danh sách nhịp chuẩn xác nhất.","Phím [Delete] / [Backspace]","Hoàn thành (100%)"
20,V. Trình phát & Nghe thử,Phát / Tạm dừng đồng bộ,"Phát nhạc với HTML5 Audio Engine độ trễ cực thấp, con trỏ chạy mượt mà trên timeline.","Nghe kiểm tra nhịp rơi chuẩn xác theo thời gian thực.","Phím [Space] / Nút Play","Hoàn thành (100%)"
21,V. Trình phát & Nghe thử,Tua nhanh / lùi nhanh 5 giây,"Tua nhanh bài hát bằng nút điều khiển hoặc phím mũi tên bàn phím.","Di chuyển nhanh giữa các đoạn verse/chorus của bài hát.","Phím [←] / [→]","Hoàn thành (100%)"
22,V. Trình phát & Nghe thử,Điều chỉnh tốc độ phát (Speed Control),"Hỗ trợ các mức tốc độ: 0.5x, 0.75x, 1x (chuẩn), 1.25x, 1.5x, 2x.","Làm chậm để soi kỹ từng mili-giây nhịp nhanh phức tạp.","Menu Tốc độ phát","Hoàn thành (100%)"
23,V. Trình phát & Nghe thử,Điều chỉnh Âm Lượng & Mute,"Thanh trượt âm lượng mượt mà (0% - 100%) kèm nút bấm tắt tiếng (Mute) tiện lợi.","Bảo vệ tai và tùy chỉnh mức âm lượng làm việc phù hợp.","Slider & Icon Âm lượng","Hoàn thành (100%)"
24,VI. Xuất dữ liệu & Tích hợp,Xuất kịch bản CapCut (.json),"Đóng gói dữ liệu Beat Marker theo chuẩn template CapCut Draft JSON để import trực tiếp vào CapCut.","Tự động hóa hoàn toàn khâu bắt beat giật giật trên CapCut.","Modal [Xuất dữ liệu]","Hoàn thành (100%)"
25,VI. Xuất dữ liệu & Tích hợp,Xuất Adobe Premiere Pro / Final Cut (.csv / .edl),"Xuất file CSV chứa Timecode chuẩn SMPTE (HH:MM:SS:FF) tương thích 100% với Adobe Premiere Pro, DaVinci Resolve và After Effects.","Tạo hàng trăm markers trên timeline Premiere chỉ với 1 click.","Modal [Xuất dữ liệu]","Hoàn thành (100%)"
26,VI. Xuất dữ liệu & Tích hợp,Xuất dữ liệu thô Raw JSON,"Xuất file JSON chứa toàn bộ mảng timestamp (giây), loại nhịp (strong/standard/manual), độ tin cậy và thông số BPM.","Hỗ trợ các lập trình viên, nhà phát triển game và AI pipeline.","Modal [Xuất dữ liệu]","Hoàn thành (100%)"
27,VII. Desktop Native & UI,"Ứng dụng Windows Desktop Native","Chạy độc lập mượt mà trên Windows với icon chuyên nghiệp, file thực thi .exe và phím tắt Desktop.","Khởi động nhanh, không cần mạng internet khi xử lý bài hát.","Desktop Shortcut","Hoàn thành (100%)"
28,VII. Desktop Native & UI,"Giao diện Studio Dark Pro UI","Thiết kế phong cách phòng thu hiện đại, màu sắc tương phản cao, dịu mắt khi làm việc ban đêm trong nhiều giờ.","Nâng tầm trải nghiệm thị giác chuyên nghiệp như DAW cao cấp.","Giao diện Dark Mode","Hoàn thành (100%)"
